,From Specify,,,,Desired Split,,
GUID,First.Name,Middle.Name,Last.Name,Standardized Name,First.Name,Middle.Initial,Last.Name
1a179786-c2db-42ff-ae59-18b547111a88,,,R.L. Taylor,Roy L. Taylor,,,
e08be40c-7a67-479c-a38e-44ac92b20786,,,R. L. Taylor,Roy L. Taylor,,,
d74fd311-de8c-447d-9cd9-2380a184f9c9,R.,L.,Taylor,Roy L. Taylor,,,
2e64a00c-89ce-4e4a-b4e5-9ec7c2da97d6,,,R. Taylor,Roy L. Taylor,,,
1e2d7f15-a3ae-42c3-bea9-bb5da5082189,R.,,Taylor,Roy L. Taylor,,,
bd1d621e-8ae1-48a3-bec7-c3922037f996,Roy,,Taylor,Roy L. Taylor,,,
46a9adfe-8566-429c-912a-3eafab1de796,,,R.L.Taylor,Roy L. Taylor,,,
696ae5fa-cf80-4fe8-afed-eb6452825dbe,Wm. R. Taylor,,,Roy L. Taylor,,,
c3117c2e-52bd-4e67-8d6c-ccb9d356e00e,W. R. Taylor,,,Roy L. Taylor,,,
0e25e631-43b1-44d6-bded-f2db71a82742,Wm.R. Taylor,,,Roy L. Taylor,,,
2869f951-30f2-4fd7-84c0-2fe8d77c2d3b,Wm,R.,Taylor,Roy L. Taylor,,,
7cec0fa9-66f9-4010-8749-2924d5634497,Wm. R. Taylor,,,Roy L. Taylor,,,
f3109359-de46-4a7a-ba7e-d033c8cf586e,WM,R.,Taylor,Roy L. Taylor,,,
1abbfabf-0dad-4258-a1c8-8df6b16087b6,Wm.R. Taylor,,,Roy L. Taylor,,,
e4c0c25e-d7c9-4673-926c-20ba11a05226,F. J. R. Taylor,,,Roy L. Taylor,,,
d8a66752-1da9-410d-9e9b-abb275110aad,F. J. R. Taylor,,,Roy L. Taylor,,,
6db7c686-4135-4c4e-a46e-879f89089a36,Bruce,A.,Bennett,Bruce A. Bennett,,,
37cf3826-e75e-4876-91de-7c1555b0ddf6,,,Bruce A. Bennett,Bruce A. Bennett,,,
82cd9aea-8da7-4522-8170-61500df4734a,,,B.A. Bennett,Bruce A. Bennett,,,
6fb1ca33-9b26-49be-b339-176b752f4b5b,B.,A.,Bennett,Bruce A. Bennett,,,
c50ad3bb-13d2-4ead-9ff9-606579e8f458,Bruce,,Bennett,Bruce A. Bennett,,,
9016e337-bbd8-43f6-8e93-94e5db02ec40,B.,A.,Bennet,Bruce A. Bennett,,,
dc0ec65d-97e7-4e44-9ed7-ad52324318ba,B.,,Bennett,Bruce A. Bennett,,,
7e7de79d-783c-4171-a509-f52de63f0be8,B.,A.,Benett,Bruce A. Bennett,,,
3b0053e1-5ce0-4809-ab23-a76aab2eb0fe,Beryl,C.,Zhuang,Beryl C. Zhuang,,,
71a8c4a9-439d-4fa8-9807-2d395cc1147c,,,Beryl C. Zhuang,Beryl C. Zhuang,,,
c5924645-d83f-43f8-a6d0-979f134f4ce2,Beryl,,Zhuang,Beryl C. Zhuang,,,
c8e3f094-1314-4153-adb1-dc5f1ac429ad,,,Beryl Zhuang,Beryl C. Zhuang,,,
145bc2b0-5795-4ac9-8892-1da17ca9c8bc,B.,,Zhuang,Beryl C. Zhuang,,,
41a5e41a-9ce2-4a95-9438-e14b318c24cf,Trevor,,Goward,Trevor Goward,,,
9acfe0af-fb31-4adc-bbf7-d436e5507137,,,Trevor Goward,Trevor Goward,,,
77abc0a5-08d2-4dd2-a383-75fd45c3951b,,,T. Goward,Trevor Goward,,,
